date,holiday,region,observed
2026-01-01,New Year Day,US,yes
2026-01-19,Martin Luther King Jr Day,US,yes
2026-02-16,Presidents Day,US,yes
2026-05-25,Memorial Day,US,yes
2026-06-19,Juneteenth,US,yes
2026-07-03,Independence Day observed,US,yes
2026-09-07,Labor Day,US,yes
2026-11-26,Thanksgiving,US,yes
2026-11-27,Day after Thanksgiving,US,yes
2026-12-24,Christmas Eve,US,half day
2026-12-25,Christmas Day,US,yes
2026-12-31,New Year Eve,US,half day
2026-04-03,Good Friday,US,no
2026-10-12,Indigenous Peoples Day,US,no
