"# Public Holiday Calendar 2026 (United States) (NW-POL-018, 2026.1, effective 2026-01-01)"
date,day,holiday,offices_closed
2026-01-01,Thursday,New Year Day,All US
2026-01-19,Monday,Martin Luther King Jr Day,All US
2026-02-16,Monday,Presidents Day,All US
2026-05-25,Monday,Memorial Day,All US
2026-06-19,Friday,Juneteenth,All US
2026-07-03,Friday,Independence Day observed,All US
2026-09-07,Monday,Labor Day,All US
2026-11-26,Thursday,Thanksgiving,All US
2026-11-27,Friday,Day after Thanksgiving,All US
2026-12-24,Thursday,Christmas Eve,All US
2026-12-25,Friday,Christmas Day,All US
